Date,No of Trans,Max,Min,Close,Volume
2015-03-18,17.0,472.0,466.0,472.0,1901.0
2015-03-19,20.0,480.0,470.0,480.0,1882.0
2015-03-22,22.0,476.0,464.0,467.0,6630.0
2015-03-23,28.0,470.0,463.0,469.0,4993.0
2015-03-24,13.0,469.0,464.0,467.0,1251.0
2015-03-25,12.0,470.0,459.0,470.0,797.0
2015-03-26,17.0,476.0,463.0,476.0,966.0
2015-03-29,6.0,470.0,469.0,469.0,531.0
2015-03-30,27.0,469.0,451.0,459.0,3598.0
2015-03-31,11.0,465.0,458.0,461.0,1282.0
2015-04-01,22.0,464.0,454.0,464.0,2590.0
2015-04-02,13.0,465.0,455.0,465.0,3444.0
2015-04-05,26.0,471.0,452.0,455.0,1330.0
2015-04-06,28.0,460.0,446.0,450.0,3678.0
2015-04-07,21.0,451.0,446.0,450.0,2372.0
2015-04-08,13.0,464.0,449.0,458.0,2164.0
2015-04-09,22.0,471.0,451.0,471.0,7084.0
2015-04-12,34.0,482.0,468.0,479.0,4345.0
2015-04-13,34.0,472.0,461.0,472.0,4158.0
2015-04-15,42.0,475.0,455.0,474.0,13284.0
2015-04-16,60.0,468.0,455.0,468.0,8979.0
2015-04-19,10.0,437.0,429.0,436.0,820.0
2015-04-20,9.0,439.0,434.0,436.0,1363.0
2015-04-21,9.0,439.0,431.0,439.0,1312.0
2015-04-22,7.0,440.0,435.0,440.0,619.0
2015-04-23,13.0,434.0,430.0,432.0,1563.0
2015-05-24,5.0,424.0,392.0,392.0,90.0
2015-05-25,13.0,385.0,360.0,365.0,844.0
2015-05-26,7.0,397.0,370.0,397.0,1215.0
2015-05-27,3.0,390.0,376.0,376.0,230.0
2015-05-28,10.0,393.0,380.0,390.0,2330.0
2015-05-31,8.0,402.0,392.0,397.0,1141.0
2015-06-01,11.0,404.0,390.0,400.0,2353.0
2015-06-02,4.0,402.0,400.0,400.0,181.0
2015-06-04,15.0,440.0,420.0,420.0,2566.0
2015-06-07,11.0,435.0,425.0,430.0,5611.0
2015-06-08,18.0,438.0,425.0,430.0,1959.0
2015-06-09,24.0,463.0,438.0,448.0,3888.0
2015-06-10,5.0,440.0,432.0,438.0,880.0
2015-06-11,16.0,432.0,422.0,425.0,2209.0
2015-06-14,8.0,420.0,413.0,413.0,2431.0
2015-06-15,8.0,427.0,407.0,421.0,1505.0
2015-06-16,10.0,426.0,418.0,426.0,1298.0
2015-06-17,9.0,426.0,418.0,423.0,1700.0
2015-06-18,19.0,422.0,412.0,416.0,873.0
2015-06-21,9.0,416.0,413.0,415.0,1001.0
2015-06-22,18.0,420.0,410.0,415.0,1380.0
2015-06-23,16.0,423.0,415.0,420.0,7897.0
2015-06-24,8.0,425.0,414.0,414.0,1269.0
2015-06-25,9.0,420.0,417.0,419.0,833.0
2015-06-28,18.0,420.0,415.0,420.0,2180.0
2015-06-29,26.0,420.0,406.0,420.0,8930.0
2015-06-30,13.0,415.0,406.0,415.0,6613.0
2015-07-01,9.0,410.0,408.0,410.0,572.0
